0, 0, 0
-100.0, -75.0, 5.0
-100.0, -75.0, 100.0
-0.274, 149.679, 100.0
-0.274, 149.679, 14.994
-0.274, 149.679, 4.994
0.52, 149.679, 5.0
10.841, 149.679, 5.0
11.635, 149.679, 5.01
12.032, 149.679, 5.031
12.429, 149.679, 5.067
12.826, 149.679, 5.125
13.223, 149.679, 5.201
13.62, 149.679, 5.294
14.017, 149.679, 5.405
14.811, 149.679, 5.692
15.208, 149.679, 5.87
15.605, 149.679, 6.07
16.002, 149.679, 6.295
16.399, 149.679, 6.547
16.796, 149.679, 6.831
17.193, 149.679, 7.15
17.59, 149.679, 7.509
17.987, 149.679, 7.906
20.369, 149.679, 10.411
21.957, 149.679, 12.047
26.721, 149.679, 17.0
29.897, 149.679, 20.249
33.073, 149.679, 23.446
34.661, 149.679, 25.022
36.249, 149.679, 26.57
37.837, 149.679, 28.091
39.425, 149.679, 29.586
41.013, 149.679, 31.038
42.601, 149.679, 32.436
44.189, 149.679, 33.774
44.983, 149.679, 34.42
45.777, 149.679, 35.05
46.571, 149.679, 35.658
47.365, 149.679, 36.25
48.953, 149.679, 37.371
49.747, 149.679, 37.899
50.541, 149.679, 38.407
51.335, 149.679, 38.897
52.128, 149.679, 39.364
52.922, 149.679, 39.806
53.716, 149.679, 40.231
54.51, 149.679, 40.63
55.304, 149.679, 41.007
56.098, 149.679, 41.361
56.892, 149.679, 41.693
57.686, 149.679, 42.0
58.48, 149.679, 42.284
59.274, 149.679, 42.547
60.068, 149.679, 42.785
60.862, 149.679, 43.003
61.656, 149.679, 43.194
62.45, 149.679, 43.372
63.244, 149.679, 43.524
64.038, 149.679, 43.66
64.832, 149.679, 43.774
65.626, 149.679, 43.872
66.42, 149.679, 43.951
67.214, 149.679, 44.013
68.008, 149.679, 44.057
68.802, 149.679, 44.084
69.596, 149.679, 44.097
70.39, 149.679, 44.096
71.184, 149.679, 44.079
71.978, 149.679, 44.047
72.772, 149.679, 44.004
74.36, 149.679, 43.879
75.154, 149.679, 43.797
75.948, 149.679, 43.7
